Name,Road Address,Jibun Address,shop_lat,shop_lng
이마트 미아점,서울 성북구 도봉로 17 이마트미아점,길음동 25-2 이마트미아점,37.6108546,127.0299225
이마트 월계점,서울 노원구 마들로3길 15,월계동 333-1,37.6265093,127.0619797
이마트 청계천점,서울 중구 청계천로 400 이마트청계천점,황학동 2545 이마트청계천점,37.5707646,127.0211246
이마트 묵동점,서울 중랑구 동일로 932 묵동자이2단지,묵동 170-1 자이프라자 지하,37.6138821,127.0776975
이마트 창동점,서울 도봉구 노해로65길 4 창동E-MART,창동 135-26 E-MART,37.6516362,127.0466993
이마트 왕십리점,서울 성동구 왕십리광장로 17 이마트왕십리점,행당동 168-151 이마트왕십리점,37.5614086,127.0384812
이마트 은평점,서울 은평구 은평로 111 이마트은평점,응암동 90-1 이마트은평점,37.6008422,126.9205287
이마트 자양점,서울 광진구 아차산로 272 이마트자양점,자양동 227-7 이마트자양점,37.5385583,127.0729962
이마트 마포점,서울 마포구 백범로 212 대우 월드마크마포,신공덕동 173 대우 월드마크마포,37.5424867,126.9535163
이마트 신촌점,서울 마포구 신촌로 94,노고산동 57-1,37.5549941,126.935995
이마트 별내점,경기 남양주시 순화궁로 167,별내동 989,37.6428209,127.1260036
이마트 용산점,서울 용산구 한강대로23길 55 이마트용산점,한강로3가 40-999 이마트용산점,37.5297718,126.9647415
이마트 수색점,서울 은평구 수색로 217 디엠씨 자이1단지(DMC 자이1),수색동 75 디엠씨 자이1단지(DMC 자이1),37.5797986,126.8988878
이마트 다산점,경기 남양주시 도농로 24 부영애시앙 901동,다산동 4001-29 부영애시앙 901동,37.6087966,127.15859
이마트 천호점,서울 강동구 천호대로 1017 이마트천호점,천호동 454-1 이마트천호점,37.5387396,127.1251713
이마트 역삼점,서울 강남구 역삼로 310 이마트역삼점,역삼동 755 이마트역삼점,37.4992883,127.0484325
이마트 여의도점,서울 영등포구 여의동로3길 10 여의도자이,여의도동 47 GS자이아파트 B1층,37.518272,126.9260954
이마트 명일점,서울 강동구 고덕로 276 이마트 명일점,명일동 46-4 이마트 명일점,37.5547101,127.1556015
이마트 영등포점,서울 영등포구 영중로 15 이마트영등포점,영등포동4가 442 이마트영등포점,37.5176343,126.9042788
이마트 수서점,서울 강남구 광평로 280 로즈데일빌딩,수서동 724 로즈데일빌딩,37.4873192,127.103108
이마트 목동점,서울 양천구 오목로 299,목동 962,37.52609,126.871084
이마트 신도림점,서울 구로구 새말로 97 테크노마트 B2층,구로동 3-25 테크노마트 B2층,37.5070143,126.8902633
이마트 양재점,서울 서초구 매헌로 16,양재동 215,37.4631951,127.0366233
이마트 의정부점,경기 의정부시 민락로 210 이마트,민락동 849 이마트,37.7431936,127.1023779
이마트 화정점,경기 고양시 덕양구 백양로 79 이마트,화정동 976 이마트,37.63265,126.8334541
이마트 가든파이브점,서울 송파구 충민로 10 가든파이브툴 지하1층,문정동 628 가든파이브툴 지하1층,37.4786598,127.1189685
이마트 하남점,경기 하남시 덕풍서로 70 하남풍산지구E-MART,덕풍동 736,37.5527848,127.2053856
이마트 구로점,서울 구로구 디지털로32길 43 이마트구로점,구로동 188-26 이마트구로점,37.4844087,126.8979273
이마트 진접점,경기 남양주시 금강로유연들1길 154 진접이마트,진접읍 연평리 101-14 진접이마트,37.7088324,127.1820213
이마트 신월점,서울 양천구 화곡로 59,신월5동 26,37.5397597,126.8285188
이마트 남양주점,경기 남양주시 늘을2로 27 E-MART,호평동 637 E-MART,37.6550675,127.2430743
이마트 과천점,경기 과천시 별양상가3로 11,별양동 1-19,37.4263042,126.9918723
이마트 일산점,경기 고양시 일산동구 중앙로 1124 흰돌마을,백석동 1194 흰돌마을,37.647889,126.782724
이마트 성남점,경기 성남시 수정구 수정로 201 이마트성남점,태평동 7336 이마트성남점,37.4442863,127.141411
이마트 풍산점,경기 고양시 일산동구 무궁화로 237 이마트풍산점,중산동 1809 이마트풍산점,37.6738502,126.7871254
이마트 광명소하점,경기 광명시 소하로 97,소하동 1339-3,37.4466747,126.884548
이마트 평촌점,경기 안양시 동안구 시민대로 300 이마트평촌점,관양동 1608 이마트평촌점,37.3949152,126.9636844
이마트 안양점,경기 안양시 동안구 관악대로 104 (주)부방유통 안양이마트,비산동 411-8 (주)부방유통 안양이마트,37.3983756,126.9353531
이마트 중동점,경기 부천시 원미구 석천로 188 이마트중동점,중동 1157 이마트점,37.5040681,126.7639331
이마트 양주점,경기 양주시 평화로 1713 이마트,회정동 98 이마트,37.8417048,127.0539034
이마트 계양점,인천 계양구 봉오대로 785 이마트 계양점,작전동 911-1 이마트 계양점,37.531069,126.7370059
이마트 파주운정점,경기 파주시 한울로 123,동패동 1763,37.7103661,126.7451109
이마트 파주점,경기 파주시 당하길 10 이마트,당하동 195-5 이마트,37.7469635,126.7510508
이마트 산본점,경기 군포시 산본로 347 신세계산본점,산본동 1123 신세계산본점,37.361105,126.9314704
이마트 포천점,경기 포천시 호국로 915,설운동 2,37.8477222,127.1605561
이마트 의왕점,경기 의왕시 경수대로 262 지하1~2층,오전동 324-4 지하1~2층,37.3504331,126.9733186
이마트 분당점,경기 성남시 분당구 불정로 134,정자동 211,37.3587972,127.1197577
이마트 검단점,인천 서구 서곶로 754 E-MART,당하동 1065-1 E-MART,37.5857151,126.6772162
이마트 경기광주점,경기 광주시 광주대로 30 광주터미널 이프라자,경안동 25-3 광주터미널 이프라자,37.4096153,127.2612629
이마트 죽전점,경기 용인시 수지구 포은대로 552 이마트죽전점,죽전동 1282 이마트죽전점,37.3253071,127.1098259
이마트 수지점,경기 용인시 수지구 수지로 203 이마트수지점,신봉동 909 이마트수지점,37.3197105,127.0832813
이마트 김포한강점,경기 김포시 김포한강7로 71 이마트 김포한강점,구래동 6880-9 이마트 김포한강점,37.6443183,126.6283154
이마트 광교점,경기 수원시 영통구 광교로 191,이의동 1240,37.2963486,127.0469684
이마트 서수원점,경기 수원시 권선구 수인로 291 서수원버스터미널,구운동 925 서수원버스터미널,37.2827818,126.9705288
이마트 흥덕점,경기 용인시 기흥구 흥덕중앙로 60,영덕동 985-3,37.2757484,127.0733378
이마트 연수점,인천 연수구 경원대로 184 이마트연수점,동춘동 926-9 이마트연수점,37.4042407,126.6811495
이마트 동인천점,인천 중구 인중로 134,신생동 38,37.4665194,126.6291854
이마트 동백점,경기 용인시 기흥구 동백죽전대로 444 쥬네브썬월드빌딩,중동 833 쥬네브썬월드빌딩,37.27795,127.1515224
